@relation accelerometer

@attribute minimum_for_axis_X numeric
@attribute minimum_for_axis_Y numeric
@attribute minimum_for_axis_Z numeric
@attribute minimum_for_magnitude numeric
@attribute average_acceleration_for_axis_X numeric
@attribute average_acceleration_for_axis_Y numeric
@attribute average_acceleration_for_axis_Z numeric
@attribute average_acceleration_for_magnitude numeric
@attribute standard_deviation_for_axis_X numeric
@attribute standard_deviation_for_axis_Y numeric
@attribute standard_deviation_for_axis_Z numeric
@attribute standard_deviation_for_magnitude numeric
@attribute average_absolute_difference_for_axis_X numeric
@attribute average_absolute_difference_for_axis_Y numeric
@attribute average_absolute_difference_for_axis_Z numeric
@attribute average_absolute_difference_for_magnitude numeric
@attribute zero_crossing_rate_for_axis_X numeric
@attribute zero_crossing_rate_for_axis_Y numeric
@attribute zero_crossing_rate_for_axis_Z numeric
@attribute bin0_X numeric
@attribute bin1_X numeric
@attribute bin2_X numeric
@attribute bin3_X numeric
@attribute bin4_X numeric
@attribute bin5_X numeric
@attribute bin6_X numeric
@attribute bin7_X numeric
@attribute bin8_X numeric
@attribute bin9_X numeric
@attribute bin0_Y numeric
@attribute bin1_Y numeric
@attribute bin2_Y numeric
@attribute bin3_Y numeric
@attribute bin4_Y numeric
@attribute bin5_Y numeric
@attribute bin6_Y numeric
@attribute bin7_Y numeric
@attribute bin8_Y numeric
@attribute bin9_Y numeric
@attribute bin0_Z numeric
@attribute bin1_Z numeric
@attribute bin2_Z numeric
@attribute bin3_Z numeric
@attribute bin4_Z numeric
@attribute bin5_Z numeric
@attribute bin6_Z numeric
@attribute bin7_Z numeric
@attribute bin8_Z numeric
@attribute bin9_Z numeric
@attribute bin0_magnitude numeric
@attribute bin1_magnitude numeric
@attribute bin2_magnitude numeric
@attribute bin3_magnitude numeric
@attribute bin4_magnitude numeric
@attribute bin5_magnitude numeric
@attribute bin6_magnitude numeric
@attribute bin7_magnitude numeric
@attribute bin8_magnitude numeric
@attribute bin9_magnitude numeric
@attribute userID {rRHyStiEKkN4Cq5rVSxlpvrCwA72}

@data
2.2889862060546875,-16.884536743164062,3.120819091796875,5.305142944864541,8.05730676651001,-6.341625094413757,9.766280174255371,14.856545580001228,3.7833431957586634,3.214303698874301,3.602878646514881,4.17442829452717,3.165112629532814,2.5203081369400024,2.7973656058311462,3.4965333211839926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.2421875,0.3125,0.1484375,0.21875,0.0390625,0.15625,0.359375,0.2734375,0.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.3671875,0.3046875,0.21875,0.0,0.0078125,0.046875,0.1796875,0.3125,0.203125,0.1171875,0.125,0.0078125,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
4.357574462890625,-13.90374755859375,-2.79046630859375,7.773299892803407,9.199135303497314,-2.962826371192932,4.485438108444214,11.631530460043253,2.2598861363484515,3.1702925074784165,3.3784836696740856,2.191135883085492,1.960812970995903,2.435919327661395,2.8990111276507378,1.823737868624856,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0859375,0.3046875,0.515625,0.09375,0.046875,0.0078125,0.0078125,0.3515625,0.4921875,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171875,0.2265625,0.2265625,0.3125,0.1171875,0.0,0.0,0.0,0.1171875,0.4453125,0.375,0.0625,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
3.46453857421875,-13.817550659179688,-0.0610809326171875,5.564025194163843,7.435299754142761,-5.328821182250977,3.4595972299575806,10.695834725590656,2.131288941601775,4.71575962320813,1.3268308340753565,3.128771577067979,1.796756811439991,3.890336960554123,1.0219126977026463,2.6770728634733363,0.0,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.2578125,0.4453125,0.296875,0.0,0.1796875,0.0625,0.1171875,0.3125,0.2265625,0.09375,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.2890625,0.6640625,0.0390625,0.0,0.0,0.0,0.0234375,0.3046875,0.28125,0.21875,0.171875,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
2.3751678466796875,-9.955703735351562,-1.4712677001953125,5.202096888189378,7.866893172264099,-5.865515351295471,2.687524199485779,10.53013533034328,2.596209476360455,2.458945454908399,2.0115494987144094,3.076420411568128,2.095636386424303,2.1394574847072363,1.5435709580779076,2.755054085258229,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.03125,0.1953125,0.3828125,0.3671875,0.0234375,0.0,0.15625,0.34375,0.3203125,0.1796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015625,0.515625,0.328125,0.0546875,0.0,0.0,0.0,0.0546875,0.34375,0.203125,0.3125,0.0859375,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-1.0174102783203125,-13.149581909179688,-4.6387939453125,4.80897380620128,8.296894907951355,-6.1419150829315186,0.8387699127197266,12.227776238871153,3.721578030736281,5.959815879635142,1.9951515532449886,3.331184068246395,2.917112210765481,4.754620783030987,1.6428506672382355,2.5198280641282205,0.015625,0.03125,0.15625,0.0,0.0,0.0,0.0,0.0078125,0.03125,0.21875,0.3125,0.296875,0.1328125,0.1015625,0.25,0.3203125,0.046875,0.1328125,0.0546875,0.03125,0.0234375,0.0390625,0.0,0.0,0.0,0.0,0.0078125,0.375,0.46875,0.1484375,0.0,0.0,0.0,0.0,0.0234375,0.1484375,0.1953125,0.46875,0.109375,0.0234375,0.03125,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-1.268798828125,-17.511810302734375,-8.4527587890625,3.850591727052158,2.8890472650527954,-9.360657453536987,-0.9529907703399658,11.081232323566443,2.2377358568924133,4.039422519294644,4.576029516207865,4.043195005126324,1.8865260872989893,3.6141409873962402,2.5448280200362206,3.2513033420090105,0.046875,0.0,0.0703125,0.0,0.0,0.0,0.0,0.0859375,0.515625,0.2890625,0.109375,0.0,0.0,0.390625,0.125,0.171875,0.3046875,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.2109375,0.53125,0.140625,0.0390625,0.0078125,0.0,0.03125,0.0,0.046875,0.28125,0.234375,0.265625,0.140625,0.0078125,0.0078125,0.0078125,0.0078125,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-0.945587158203125,-16.010650634765625,-3.4560546875,8.525069225945167,1.0617858171463013,-10.791846632957458,-0.6997848749160767,10.999859541668512,1.4542658844744834,1.7750685464430456,1.0382278315251072,1.8514336182982345,1.1582834459841251,1.3992963656783104,0.8163841478526592,1.441232366860028,0.0703125,0.0,0.09375,0.0,0.0,0.0,0.0,0.28125,0.6328125,0.078125,0.0078125,0.0,0.0,0.1640625,0.75,0.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.734375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.640625,0.2421875,0.0625,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-2.8250274658203125,-14.710586547851562,-5.2014312744140625,6.892048156435187,-0.14029037952423096,-10.372843503952026,-1.593215823173523,10.605505227293985,1.0202243888644222,2.015066907861838,1.3882791506532748,2.1692926792042977,0.7984870169311762,1.6375228017568588,1.084381427615881,1.7895322966031473,0.0625,0.0,0.0078125,0.0,0.0,0.0,0.0,0.578125,0.421875,0.0,0.0,0.0,0.0,0.2421875,0.5859375,0.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,0.7421875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.578125,0.2109375,0.0703125,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
0.014495849609375,-10.40582275390625,-2.304443359375,8.104406058869305,4.227350115776062,-8.680816650390625,0.5448446273803711,9.823138663885812,1.5657279205179928,0.6901904449357191,0.660763529355316,0.6279684627465113,1.3731833286583424,0.5265567302703857,0.47907841205596924,0.47713822318455856,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.265625,0.6875,0.046875,0.0,0.0,0.0,0.3671875,0.6328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.8515625,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.90625,0.0,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
4.494049072265625,-9.323638916015625,-0.1999359130859375,9.772089052667448,5.193916320800781,-8.74012839794159,0.2680516242980957,10.18106815920384,0.3352311933570885,0.3053883030492444,0.22276563740529182,0.19894840730144833,0.27478837966918945,0.26166301406919956,0.15441875159740448,0.1702501797375075,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.9765625,0.0234375,0.0,0.0,0.0,0.4453125,0.5546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015625,0.8984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
