@relation accelerometer

@attribute minimum_for_axis_X numeric
@attribute minimum_for_axis_Y numeric
@attribute minimum_for_axis_Z numeric
@attribute minimum_for_magnitude numeric
@attribute average_acceleration_for_axis_X numeric
@attribute average_acceleration_for_axis_Y numeric
@attribute average_acceleration_for_axis_Z numeric
@attribute average_acceleration_for_magnitude numeric
@attribute standard_deviation_for_axis_X numeric
@attribute standard_deviation_for_axis_Y numeric
@attribute standard_deviation_for_axis_Z numeric
@attribute standard_deviation_for_magnitude numeric
@attribute average_absolute_difference_for_axis_X numeric
@attribute average_absolute_difference_for_axis_Y numeric
@attribute average_absolute_difference_for_axis_Z numeric
@attribute average_absolute_difference_for_magnitude numeric
@attribute zero_crossing_rate_for_axis_X numeric
@attribute zero_crossing_rate_for_axis_Y numeric
@attribute zero_crossing_rate_for_axis_Z numeric
@attribute bin0_X numeric
@attribute bin1_X numeric
@attribute bin2_X numeric
@attribute bin3_X numeric
@attribute bin4_X numeric
@attribute bin5_X numeric
@attribute bin6_X numeric
@attribute bin7_X numeric
@attribute bin8_X numeric
@attribute bin9_X numeric
@attribute bin0_Y numeric
@attribute bin1_Y numeric
@attribute bin2_Y numeric
@attribute bin3_Y numeric
@attribute bin4_Y numeric
@attribute bin5_Y numeric
@attribute bin6_Y numeric
@attribute bin7_Y numeric
@attribute bin8_Y numeric
@attribute bin9_Y numeric
@attribute bin0_Z numeric
@attribute bin1_Z numeric
@attribute bin2_Z numeric
@attribute bin3_Z numeric
@attribute bin4_Z numeric
@attribute bin5_Z numeric
@attribute bin6_Z numeric
@attribute bin7_Z numeric
@attribute bin8_Z numeric
@attribute bin9_Z numeric
@attribute bin0_magnitude numeric
@attribute bin1_magnitude numeric
@attribute bin2_magnitude numeric
@attribute bin3_magnitude numeric
@attribute bin4_magnitude numeric
@attribute bin5_magnitude numeric
@attribute bin6_magnitude numeric
@attribute bin7_magnitude numeric
@attribute bin8_magnitude numeric
@attribute bin9_magnitude numeric
@attribute userID{rRHyStiEKkN4Cq5rVSxlpvrCwA72,ttJMxBAjuHNVLCKhaXNvBTFDbIc2}

@data
-5.0803680419921875,6.683990478515625,-2.531890869140625,7.830526351068059,0.2614680528640747,12.080841183662415,0.3025627136230469,12.711586035801467,3.7077926056759236,3.2610855747276037,0.8548787322270351,3.104099978552617,3.2875809837132692,2.818490866571665,0.6962177157402039,2.620039495892267,0.015625,0.0,0.0703125,0.0,0.0,0.0,0.328125,0.1484375,0.2109375,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,0.3046875,0.4921875,0.0,0.0,0.0,0.0,0.328125,0.671875,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.2578125,0.3359375,0.1875,0.0703125,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-2.5496978759765625,2.9825592041015625,-1.8040618896484375,3.0120984108266105,1.6658726930618286,7.371259093284607,1.9536633491516113,8.322609837045707,2.702418926436598,3.0234265100594606,1.9502949063531771,3.450997619441166,2.387325683608651,2.801506681367755,1.69346883893013,3.1610584517338283,0.0390625,0.0,0.0390625,0.0,0.0,0.0,0.0,0.390625,0.2578125,0.25,0.1015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.1171875,0.390625,0.0234375,0.0,0.0,0.0,0.0,0.171875,0.46875,0.3515625,0.0078125,0.0,0.0,0.0,0.3359375,0.1875,0.21875,0.2578125,0.0,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-4.465057373046875,6.245849609375,-3.661956787109375,6.5413975920377,-0.24191367626190186,11.321878433227539,0.02245914936065674,11.957426887434597,2.285451861793903,3.830798128576514,3.204905528200099,3.928565143632173,1.993826573714614,3.133337378501892,2.5074749514460564,3.26638893664977,0.03125,0.0,0.0234375,0.0,0.0,0.0,0.1640625,0.3125,0.46875,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3203125,0.2578125,0.421875,0.0,0.0,0.0,0.09375,0.625,0.078125,0.125,0.078125,0.0,0.0,0.0,0.0,0.28125,0.203125,0.2734375,0.15625,0.0390625,0.046875,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
0.4239044189453125,7.4525299072265625,-1.981231689453125,8.226071817567318,2.9004762172698975,9.608060836791992,1.0450633764266968,10.220033985015199,1.2680654568403114,1.3882769345360901,1.0098810632576125,1.3877394380970713,1.0850129425525665,1.1368529796600342,0.6911537516862154,1.0659453433045445,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.4453125,0.5546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3671875,0.5546875,0.078125,0.0,0.0,0.0,0.0,0.1171875,0.8828125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.125,0.0,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-1.97747802734375,3.988128662109375,-2.3164215087890625,4.1798151607547895,-0.589989423751831,9.898899912834167,0.2479633092880249,10.02283322113529,0.9749146320568226,3.413847899450427,0.9709361930098671,3.3894158995001282,0.7351559922099113,3.1654196865856647,0.7488490585237741,3.1475492846635977,0.0234375,0.0,0.0234375,0.0,0.0,0.0,0.0,0.7734375,0.21875,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.21875,0.125,0.484375,0.0,0.0,0.0,0.0,0.3203125,0.6796875,0.0,0.0,0.0,0.0,0.0,0.15625,0.234375,0.109375,0.453125,0.046875,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-1.8266448974609375,3.7127838134765625,-3.7481536865234375,3.9394685404094827,2.5855823755264282,10.426952004432678,2.9643524885177612,11.718888199721187,2.25494307336501,4.654487575309512,2.8465919848299928,4.659798079629434,1.7859962303191423,3.9100184328854084,2.4953775610774755,4.016266314012867,0.015625,0.0,0.0234375,0.0,0.0,0.0,0.0,0.1015625,0.5078125,0.2734375,0.1171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109375,0.203125,0.1875,0.3984375,0.0,0.0,0.0,0.0390625,0.125,0.3125,0.2890625,0.234375,0.0,0.0,0.0,0.1484375,0.171875,0.171875,0.171875,0.2421875,0.0703125,0.0234375,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-1.9559326171875,5.501251220703125,-1.81842041015625,5.854666307646318,0.9654004573822021,8.18854296207428,-0.4375636577606201,8.510443035382892,1.8490065430516258,2.3281944364509988,0.9136160146174781,2.3285325708008218,1.645096193999052,1.8575841132551432,0.7341498024761677,1.8445831467323413,0.0234375,0.0,0.046875,0.0,0.0,0.0,0.0,0.3359375,0.46875,0.1953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.6796875,0.1171875,0.1328125,0.0,0.0,0.0,0.0,0.7265625,0.2734375,0.0,0.0,0.0,0.0,0.0,0.0078125,0.6953125,0.15625,0.140625,0.0,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-2.3701324462890625,7.6895599365234375,-2.09375,7.837839352331657,0.9925411939620972,12.51583707332611,-0.3807767629623413,12.814638314332083,2.2586538186934373,1.7257719028244685,1.191606442937451,1.7495951337229658,2.035579513758421,1.2474506925791502,0.9068297483026981,1.2054642513153844,0.0390625,0.0,0.03125,0.0,0.0,0.0,0.0,0.421875,0.25,0.328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859375,0.125,0.7890625,0.0,0.0,0.0,0.0,0.7421875,0.2578125,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0859375,0.734375,0.1015625,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-1.5513153076171875,3.5643463134765625,-0.867919921875,3.6915436207286545,1.597787618637085,7.7465128898620605,2.4510780572891235,8.701675719252519,2.5248557691872935,3.553185557774619,2.3609078714602973,4.174197023100873,2.208588756620884,3.045926496386528,2.1054477989673615,3.556177010348557,0.015625,0.0,0.0078125,0.0,0.0,0.0,0.0,0.3984375,0.2890625,0.2265625,0.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,0.2578125,0.1484375,0.203125,0.0,0.0,0.0,0.0,0.09375,0.5390625,0.2734375,0.09375,0.0,0.0,0.0,0.34375,0.2578125,0.1484375,0.0546875,0.1953125,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-3.8808746337890625,4.4071044921875,-5.3666229248046875,4.428637950873046,0.20634448528289795,9.99734342098236,0.6250878572463989,10.561755965168125,2.1285234313108705,3.9004447671641618,2.941292301860933,4.150274818551475,1.695599913597107,3.3829625360667706,1.8696640022099018,3.624031572127276,0.046875,0.0,0.0390625,0.0,0.0,0.0,0.1328125,0.3515625,0.390625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.3046875,0.1796875,0.359375,0.0,0.0,0.0,0.0546875,0.3203125,0.4921875,0.0234375,0.0859375,0.0234375,0.0,0.0,0.15625,0.265625,0.171875,0.2265625,0.109375,0.0703125,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-3.05487060546875,7.7158966064453125,-1.5430908203125,7.98078039231438,1.6528730392456055,11.146110534667969,0.5003272294998169,11.64322466914616,2.754301564072236,2.1589391562658586,0.8700693325615425,2.1581547685555966,2.328307256102562,1.953283667564392,0.6882079821079969,1.9839793545748892,0.0078125,0.0,0.0546875,0.0,0.0,0.0,0.046875,0.2109375,0.34375,0.3984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.3828125,0.4609375,0.0,0.0,0.0,0.0,0.265625,0.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.3984375,0.421875,0.0703125,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
